openingECO,openingName,openingMoves,openingSubcategory,openingGamesPlayed,openingWhiteScore,openingDrawScore,openingBlackScore
A00,Akahi Variation,1.e3 e5 2.Nc3 Nf6 3.f4 exf4 4.Nf3,Uncommon Opening,6492,33.2,26,40.9
A00,"Alessi Gambit, Grob",1.g4 f5,Uncommon Opening,6492,33.2,26,40.9
A00,Alua Variation,1.e3 e5 2.Nc3 Nc6 3.f4 exf4 4.Nf3,Uncommon Opening,6492,33.2,26,40.9
A00,Amar; Paris Opening,1.Nh3,Uncommon Opening,6492,33.2,26,40.9
A00,"Amazon, Dunst",1.Nc3 d5 2.e4 dxe4 3.Nxe4 Qd5,Uncommon Opening,6492,33.2,26,40.9
A00,Amsterdam Attack,1.e3 e5 2.c4 d6 3.Nc3 Nc6 4.b3 Nf6,Uncommon Opening,6492,33.2,26,40.9
A00,Anderssen's Opening,1.a3,Uncommon Opening,6492,33.2,26,40.9
A00,Andersspike,1.a3 g6 2.g4,Uncommon Opening,6492,33.2,26,40.9
A00,"Anti-Pirc Variation, Dunst",1.Nc3 g6 2.h4,Uncommon Opening,6492,33.2,26,40.9
A00,Barnes; Gedult-Gunderam; Walkerling,1.f3,Uncommon Opening,6492,33.2,26,40.9
A00,"Battambang, Dunst",1.Nc3 e5 2.a3,Uncommon Opening,6492,33.2,26,40.9
A00,Benko; Barczay; Bilek; Hungarian,1.g3,Uncommon Opening,6492,33.2,26,40.9
A00,"Birmingham Gambit, Polish",1.b4 c5,Uncommon Opening,6492,33.2,26,40.9
A00,Bouncing Bishop Variation,1.e3 e5 2.Bc4 b5 3.Bb3,Uncommon Opening,6492,33.2,26,40.9
A00,"Brinckmann Variation, Polish",1.b4 e5 2.Bb2 f6 3.e4 Bxb4 4.Bc4 Nc6 5.f4 Qe7 6.f5 g6,Uncommon Opening,6492,33.2,26,40.9
A00,"Bucker Defense, Grob",1.g4 Nh6,Uncommon Opening,6492,33.2,26,40.9
A00,"Bucker Defense, Polish",1.b4 Na6,Uncommon Opening,6492,33.2,26,40.9
A00,"Bugayev Attack, Polish",1.b4 e5 2.a3,Uncommon Opening,6492,33.2,26,40.9
A00,Clemenz Opening,1.h3,Uncommon Opening,6492,33.2,26,40.9
A00,"Cologne Gambit, Ware Opening",1.a4 b6 2.d4 d5 2.Nc3 Nd7,Uncommon Opening,6492,33.2,26,40.9
A00,Creepy Crawly Formation,1.a3 e5 2.h3 d5,Uncommon Opening,6492,33.2,26,40.9
A00,Despres Opening,1.h4,Uncommon Opening,6492,33.2,26,40.9
A00,Double Grob,1.g4 g5,Uncommon Opening,6492,33.2,26,40.9
A00,Drunken Knight Opening,1.Nh3,Uncommon Opening,6492,33.2,26,40.9
A00,Dunst Gambit,1.Nc3 d5 2.e4 dxe4 3.d3,Uncommon Opening,6492,33.2,26,40.9
A00,Dunst; Heinrichsen; Will Bull; Kotrc,1.Nc3,Uncommon Opening,6492,33.2,26,40.9
A00,Durkin's Opening; Sodium Attack,1.Na3,Uncommon Opening,6492,33.2,26,40.9
A00,Ekolu Variation,1.e3 e5 2.Nc3 d5 3.f4 exf4 4.Nf3,Uncommon Opening,6492,33.2,26,40.9
A00,Gambit 59,1.g3 d5 2.Bg2 e5 3.b4,Uncommon Opening,6492,33.2,26,40.9
A00,"Glasscoe Gambit, Dunst",1.Nc3 f5 2.g4,Uncommon Opening,6492,33.2,26,40.9
A00,"Grigorian Variation, Polish",1.b4 Nc6,Uncommon Opening,6492,33.2,26,40.9
A00,Grob Gambit,1.g4 d5 2.Bg2 Bxg4,Uncommon Opening,6492,33.2,26,40.9
A00,Grob; Ahlhausen; Colibri; Fric; Genoa; Spike,1.g4,Uncommon Opening,6492,33.2,26,40.9
A00,Hammerschlag; Pork Chop Opening,1.f3 e5 2.Kf2,Uncommon Opening,6492,33.2,26,40.9
A00,Hanham; Hayward,1.c3 e5 2.Qc2,Uncommon Opening,6492,33.2,26,40.9
A00,"Hurst Attack, Grob",1.g4 e5 2.Bg2 d5 3.c4,Uncommon Opening,6492,33.2,26,40.9
A00,Irish Attack; Polish Attack,1.Nc3 e5 2.f4,Uncommon Opening,6492,33.2,26,40.9
A00,Kadas Opening,1.h4,Uncommon Opening,6492,33.2,26,40.9
A00,"Karniewski; Tubingen Variation, Polish",1.b4 Nh6,Uncommon Opening,6492,33.2,26,40.9
A00,"Keene Defense, Grob",1.g4 d5 2.h3 e5,Uncommon Opening,6492,33.2,26,40.9
A00,Keoni-Hiva Gambit,1.e3 d5 2.Nc3 Nf6 3.a3 e5 4.f4 exf4 5.Nf3,Uncommon Opening,6492,33.2,26,40.9
A00,King's Head Opening,1.f3 e5 2.e4,Uncommon Opening,6492,33.2,26,40.9
A00,Koola-Koola,1.h4 a5,Uncommon Opening,6492,33.2,26,40.9
A00,Krazy Kat,1.Nh3 e5 2.f3 d5 3.Nf2,Uncommon Opening,6492,33.2,26,40.9
A00,Lasker Simul Special,1.g3 h5,Uncommon Opening,6492,33.2,26,40.9
A00,Mieses; Valencia; Venezuelan Opening,1.d3,Uncommon Opening,6492,33.2,26,40.9
A00,"Myers Variation, Polish",1.b4 d5 2.Bb2 c6 3.a4,Uncommon Opening,6492,33.2,26,40.9
A00,"Napoleon Attack, Dunst",1.Nc3 e5 2.Nf3,Uncommon Opening,6492,33.2,26,40.9
A00,"Novosibirsk Variation, Dunst",1.Nc3 c5 2.d4 cxd4 3.Qxd4 Nc6 4.Qh4,Uncommon Opening,6492,33.2,26,40.9
A00,"Outflank Variation, Polish",1.b4 c6,Uncommon Opening,6492,33.2,26,40.9
A00,"Polish Gambit, Anderssen's Opening",1.a3 a5 2.b4,Uncommon Opening,6492,33.2,26,40.9
A00,Polish Spike,1.b4 Nf6 2.Bb2 g6 3.g4,Uncommon Opening,6492,33.2,26,40.9
A00,Polish; Orangutan; Sokolsky; Hunt,1.b4,Uncommon Opening,6492,33.2,26,40.9
A00,"Pseudo-Diemer Gambit, Dunst",1.Nc3 d5 2.e4 dxe4 3.f3 exf3 4.Qxf3,Uncommon Opening,6492,33.2,26,40.9
A00,Regan Variation,1.g3 d5 2.Bg2 e5 3.d4,Uncommon Opening,6492,33.2,26,40.9
A00,Reversed Alekhine,1.g3 e5 2.Nf3,Uncommon Opening,6492,33.2,26,40.9
A00,Reversed Nimzovich,1.Nc3 e5,Uncommon Opening,6492,33.2,26,40.9
A00,Reversed Rat,1.d3 e5,Uncommon Opening,6492,33.2,26,40.9
A00,"Romford Counter-Gambit, Grob",1.g4 d5 2.Bg2 Bxg4 3.c4 d4,Uncommon Opening,6492,33.2,26,40.9
A00,Saragossa; Hempel's Opening,1.c3,Uncommon Opening,6492,33.2,26,40.9
A00,Schiffler-Sokolsky; Tartakower Gambit,1.b4 e5 2.Bb2 f6 3.e4 Bxb4,Uncommon Opening,6492,33.2,26,40.9
A00,"Schuhler Gambit, Polish",1.b4 c6 2.Bb2 a5 3.b5 cxb5 4.e4,Uncommon Opening,6492,33.2,26,40.9
A00,"Short Spike, Grob",1.g4 d5 2.Bg2 c6 3.h3,Uncommon Opening,6492,33.2,26,40.9
A00,Spike Deferred,1.g4 g6 2.d3,Uncommon Opening,6492,33.2,26,40.9
A00,Spike Deferred; Myers Spike Attack,1.d3 g6 2.g4,Uncommon Opening,6492,33.2,26,40.9
A00,"Spike, Grob",1.g4 d5 2.Bg2 c6 3.g5,Uncommon Opening,6492,33.2,26,40.9
A00,"St. George Defense, Dunst",1.Nc3 a6,Uncommon Opening,6492,33.2,26,40.9
A00,"Tubingen Gambit, Dunst",1.Nc3 Nf6 2.g4,Uncommon Opening,6492,33.2,26,40.9
A00,"Twyble Attack, Dunst",1.Nc3 c5 2.Rb1,Uncommon Opening,6492,33.2,26,40.9
A00,Van't Kruijs Opening,1.e3 e5,Uncommon Opening,6492,33.2,26,40.9
A00,Venezolana,1.d3 c5 2.Nc3 Nc6 3.g3,Uncommon Opening,6492,33.2,26,40.9
A00,Ware Gambit,1.a4 e5 2.a5 d5 3.e3 f5 4.a6,Uncommon Opening,6492,33.2,26,40.9
A00,Ware; Meadow Hay; Crab,1.a4,Uncommon Opening,6492,33.2,26,40.9
A00,"Wing Gambit, Ware Opening",1.a4 b5,Uncommon Opening,6492,33.2,26,40.9
A00,"Wolferts Gambit, Polish",1.b4 e5 2.Bb2 c5,Uncommon Opening,6492,33.2,26,40.9
A00,Wulumulu,1.h4 e5 2.d4,Uncommon Opening,6492,33.2,26,40.9
A00,"Zilbermints Gambit, Grob",1.g4 d5 2.e4,Uncommon Opening,6492,33.2,26,40.9
A01,"Classical Variation, Larsen",1.b3 d5,Nimzovich-Larsen Attack,14275,36,29.4,34.7
A01,"Dutch Variation, Larsen",1.b3 f5,Nimzovich-Larsen Attack,14275,36,29.4,34.7
A01,"English Variation, Larsen",1.b3 c5,Nimzovich-Larsen Attack,14275,36,29.4,34.7
A01,"Indian Variation, Larsen",1.b3 Nf6,Nimzovich-Larsen Attack,14275,36,29.4,34.7
A01,Larsen; Queen's Fianchetto; Nimzo-Larsen Attack A01,1.b3,Nimzovich-Larsen Attack,14275,36,29.4,34.7
A01,"Modern Variation, Larsen",1.b3 e5,Nimzovich-Larsen Attack,14275,36,29.4,34.7
A01,"Paschmann Gambit, Larsen",1.b3 e5 2.Bb2 Nc6 3.f4,Nimzovich-Larsen Attack,14275,36,29.4,34.7
A01,"Ringelbach Gambit, Larsen",1.b3 e5 2.Bb2 f5 3.e4,Nimzovich-Larsen Attack,14275,36,29.4,34.7
A01,"Spike Variation, Larsen",1.b3 Nf6 2.Bb2 g6 3.g4,Nimzovich-Larsen Attack,14275,36,29.4,34.7
A01,"Symmetrical Variation, Larsen",1.b3 b6,Nimzovich-Larsen Attack,14275,36,29.4,34.7
A02, Bird's Opening; Dutch Attack,1.f4,Bird's Opening,20353,34.9,25.2,40
A02,"Batavo Polish Attack, Bird",1.f4 Nf6 2.Nf3 g6 3.b4,Bird's Opening,20353,34.9,25.2,40
A02,Canard Formation; Double Duck,1.f4 f5 2.d4 d5,Bird's Opening,20353,34.9,25.2,40
A02,"From's Gambit, Bird",1.f4 e5,Bird's Opening,20353,34.9,25.2,40
A02,"Hobbs Gambit, Bird",1.f4 g5,Bird's Opening,20353,34.9,25.2,40
A02,"Pawn Thrust Attack, Bird",1.f4 f5 2.d4 d5,Bird's Opening,20353,34.9,25.2,40
A02,"Swiss Gambit, Bird",1.f4 f5 2.e4 fxe4 3.Nc3 Nf6 4.g4,Bird's Opening,20353,34.9,25.2,40
A03,A03,1.f4 d5,Bird's Opening,9785,34.1,25.9,40
A03,"Horsefly Defense, Bird",1.f4 Nh6,Bird's Opening,9785,34.1,25.9,40
A03,"Prokofiev Gambit, Bird",1.f4 d5 2.e4 dxe4 3.d3,Bird's Opening,9785,34.1,25.9,40
A03,Sturm; Mujannah,1.f4 d5 2.c4,Bird's Opening,9785,34.1,25.9,40
A03,"Williams Gambit, Bird",1.f4 d5 2.e4 dxe4 3.Nc3,Bird's Opening,9785,34.1,25.9,40
A04,"Herrstrom Gambit, Reti",1.Nf3 g5,Reti Opening,290527,37.2,36.6,26.2
A04,Lessing Defense,1.Nf3 Nc6,Reti Opening,290527,37.2,36.6,26.2
A04,Lisitsin Gambit; Polish Gambit,1.Nf3 f5 2.e4,Reti Opening,290527,37.2,36.6,26.2
A04,Oberndorfer Gambit; Reti,1.Nf3 g5,Reti Opening,290527,37.2,36.6,26.2
A04,Polish G; Dalesio G; Pirc-Lisitsin G,1.Nf3 f5 2.e4 fxe4 3.Ng5,Reti Opening,290527,37.2,36.6,26.2
A04,Reti; Zukertort; A04,1.Nf3,Reti Opening,290527,37.2,36.6,26.2
A04,Rydel-Bloodgood Gambit,1.Nf3 f5 2.e4 exf4 3.Ne5,Reti Opening,290527,37.2,36.6,26.2
A04,Wade Defense,1.Nf3 d6,Reti Opening,290527,37.2,36.6,26.2
A05,King's Indian Attack; Reti; Zukertort; A05,1.Nf3 Nf6,Reti Opening,132385,37,38.4,24.6
A06,A06,1.Nf3 d5,Reti Opening,76607,37.3,36.6,26.1
A06,"Ampel Variation, Reti",1.Nf3 d5 2.Rg1,Reti Opening,76607,37.3,36.6,26.1
A06,"Bloodgood Gambit, Reti",1.Nf3 d5 2.b3 c5 3.e4 dxe4 4.Ne5,Reti Opening,76607,37.3,36.6,26.1
A06,"Improved Lisitsin G, Reti",1.Nf3 f5 2.d3,Reti Opening,76607,37.3,36.6,26.1
