"A00","33.2","26","40.9"
"A01","36","29.4","34.7"
"A02","34.9","25.2","40"
"A03","34.1","25.9","40"
"A04","37.2","36.6","26.2"
"A05","37","38.4","24.6"
"A06","37.3","36.6","26.1"
"A07","37.5","36.9","25.6"
"A08","40.7","31.3","28"
"A09","39.6","35.1","25.3"
"A10","37.7","34.1","28.2"
"A11","36.5","38.6","25"
"A12","35.5","35.7","28.8"
"A13","36.2","37.8","26"
"A14","37.1","42","20.8"
"A15","39","33.6","27.5"
"A16","39.7","32.8","27.5"
"A17","40.6","33.8","25.6"
"A18","45.7","30.3","24"
"A19","37.7","33.5","28.8"
"A20","38.5","30.9","30.6"
"A21","38.1","30.7","31.2"
"A22","37.8","32.7","29.6"
"A23","38.9","29.5","31.7"
"A24","43.1","28.3","28.5"
"A25","38.4","30.6","31.1"
"A26","33","36.1","30.9"
"A27","39","31.1","30"
"A28","37.3","36.1","26.6"
"A29","37.8","36.7","25.5"
"A30","37.1","37.7","25.3"
"A31","34.4","31.7","34"
"A32","28.6","40","31.3"
"A33","32.7","44.5","22.9"
"A34","35.3","35.6","29.1"
"A35","37.2","36.2","26.7"
"A36","36.6","37.1","26.3"
"A37","28.1","40.1","31.8"
"A38","38.1","40.5","21.4"
"A39","38.9","41","20.1"
"A40","37.9","33.5","28.5"
"A41","36.9","32.2","30.9"
"A42","40.1","29.6","30.4"
"A43","39.8","26.9","33.3"
"A44","45.8","25.8","28.4"
"A45","36.5","34.1","29.3"
"A46","35.2","34.8","30"
"A47","34.6","34","31.4"
"A48","35.6","34","30.3"
"A49","33","38","29.1"
"A50","37.1","34.6","28.4"
"A51","44.1","26.5","29.4"
"A52","46","27.6","26.4"
"A53","39.7","31.1","29.2"
"A54","36.2","35.1","28.7"
"A55","40.6","33.8","25.6"
"A56","38.8","27.9","33.3"
"A57","39.4","27.8","32.8"
"A58","37.7","31.2","31.1"
"A59","37.7","29.9","32.4"
"A60","42.3","24.4","33.2"
"A61","41.8","29.2","28.9"
"A62","34.7","31.8","33.5"
"A63","28.9","35","36.1"
"A64","30.7","31.5","37.8"
"A65","43.3","23.4","33.3"
"A66","45.6","21.1","33.3"
"A67","47.7","21.6","30.7"
"A68","37.9","21.5","40.6"
"A69","45.5","24.6","29.9"
"A70","38.5","28","33.5"
"A71","48.1","22.8","29.1"
"A72","36.3","28.2","35.5"
"A73","36.8","28.6","34.6"
"A74","38.2","29.5","32.3"
"A75","35.3","29.8","34.9"
"A76","35.9","27.6","36.5"
"A77","40.6","27.9","31.5"
"A78","38.2","30.3","31.5"
"A79","41.3","31.4","27.3"
"A80","40.2","29.1","30.8"
"A81","42.4","32.8","24.7"
"A82","39.5","23.2","37.3"
"A83","38.3","24.2","37.5"
"A84","36.2","27.6","36.2"
"A85","34.2","26.4","39.4"
"A86","37.6","32.9","29.5"
"A87","36.8","33","30.2"
"A88","37.5","33.6","28.9"
"A89","36.9","30.6","32.5"
"A90","42.3","33.7","24"
"A91","44.5","30.7","24.8"
"A92","43.3","31.3","25.4"
"A93","49.6","33.2","17.1"
"A94","47.5","34.5","18"
"A95","41.6","30.6","27.8"
"A96","44.4","31.2","24.4"
"A97","44.1","31.6","24.3"
"A98","45","27.5","27.5"
"A99","51.9","29.3","18.7"
"B00","38.2","29.9","31.9"
"B01","41","27.2","31.8"
"B02","37.8","29","33.2"
"B03","40.4","30.8","28.8"
"B04","41","32.8","26.2"
"B05","42.5","31","26.5"
"B06","37.3","28.1","34.5"
"B07","40.7","29.5","29.8"
"B08","35.8","32.9","31.3"
"B09","43.2","28.3","28.5"
"B10","37.3","33.1","29.6"
"B11","35.7","35.1","29.2"
"B12","37.3","33.6","29.1"
"B13","35.4","34.5","30.2"
"B14","38.2","35.2","26.6"
"B15","35.5","36.1","28.4"
"B16","39.5","29.6","30.9"
"B17","36","39","25"
"B18","33.8","39.4","26.7"
"B19","33.9","43.2","23"
"B20","36.1","29.7","34.2"
"B21","34","25.3","40.7"
"B22","34.9","32.9","32.2"
"B23","35.8","27.1","37.1"
"B24","32.4","29.2","38.4"
"B25","30.3","31.4","38.3"
"B26","30.7","30.3","39"
"B27","36.5","30.2","33.4"
"B28","37.1","26","37"
"B29","39","30.8","30.3"
"B30","36.7","30.5","32.8"
"B31","41.5","32.6","25.9"
"B32","35.8","30.5","33.7"
"B33","35.4","30.3","34.3"
"B34","33.7","22.2","44.1"
"B35","36.8","31.5","31.6"
"B36","37.4","40.3","22.4"
"B37","40.6","36","23.4"
"B38","40.7","36.4","22.8"
"B39","42.5","34.3","23.2"
"B40","34.9","31.3","33.9"
"B41","34.5","29.8","35.6"
"B42","37.5","32.2","30.3"
"B43","33.6","28.6","37.7"
"B44","33.5","34.1","32.4"
"B45","35.7","34.4","29.9"
"B46","37.4","34","28.7"
"B47","33.5","34.8","31.7"
"B48","34.5","32.4","33.1"
"B49","31.1","32.4","36.5"
"B50","37.1","29.4","33.5"
"B51","31.6","39.3","29.1"
"B52","32.2","42.3","25.5"
"B53","38.3","30","31.7"
"B54","38.2","28.4","33.4"
"B55","40.6","29.7","29.7"
"B56","37.8","28.5","33.7"
"B57","35.5","28.1","36.4"
"B58","29.6","31.2","39.1"
"B59","22.4","31.4","46.2"
"B60","37.3","33.3","29.4"
"B61","37.5","35.3","27.2"
"B62","36.8","33.6","29.6"
"B63","37.5","33.8","28.7"
"B64","36.3","39.3","24.4"
"B65","35.5","40.8","23.7"
"B66","36.8","32.9","30.3"
"B67","37.3","31.2","31.4"
"B68","38.9","32","29.1"
"B69","40.3","35.4","24.3"
"B70","41.5","25.7","32.7"
"B71","45.8","22","32.1"
"B72","44.3","25.3","30.4"
"B73","30.5","31.3","38.2"
"B74","33","30.4","36.7"
"B75","45.4","25.1","29.5"
"B76","46.2","24.2","29.6"
"B77","45.2","23.1","31.7"
"B78","44.9","22","33.1"
"B79","48.4","25.3","26.3"
"B80","37.3","30.1","32.6"
"B81","45","30.2","24.9"
"B82","41.3","33.7","25"
"B83","32.2","33.9","33.9"
"B84","35.8","28.7","35.5"
"B85","43.3","27.7","29"
"B86","35.6","25.4","38.9"
"B87","35.1","26.6","38.2"
"B88","37.2","26.9","35.9"
"B89","39.7","26.3","34"
"B90","37.2","28.5","34.3"
"B91","35.8","34.3","29.8"
"B92","34","31.1","34.9"
"B93","38.6","30.9","30.5"
"B94","37.9","26","36.1"
"B95","38.1","25.8","36.1"
"B96","39.1","26.7","34.2"
"B97","32.3","33.7","34"
"B98","44.7","22.8","32.5"
"B99","45.2","23.6","31.2"
"C00","38.7","30.8","30.6"
"C01","27.2","38.6","34.3"
"C02","37.9","24.8","37.3"
"C03","39.9","34.6","25.5"
"C04","41","30.4","28.7"
"C05","43.5","28.5","28"
"C06","40.3","32.7","27"
"C07","35.1","42.5","22.5"
"C08","33.3","45.7","20.9"
"C09","35.3","47.2","17.5"
"C10","40.6","31","28.3"
"C11","39.4","31.5","29.1"
"C12","38.3","30.2","31.5"
"C13","46.1","25.7","28.2"
"C14","45.9","26.9","27.2"
"C15","40.6","29.6","29.7"
"C16","41.9","28.8","29.3"
"C17","42.3","28.3","29.4"
"C18","42.4","28.4","29.2"
"C19","40.5","29.4","30.1"
"C20","41","30","29"
"C21","45.3","20.6","34"
"C22","45.1","20.5","34.4"
"C23","43.2","25.5","31.3"
"C24","41.7","27.1","31.2"
"C25","43.2","25.3","31.5"
"C26","40.7","26.4","33"
"C27","35","26.9","38.2"
"C28","40.5","27.3","32.2"
"C29","37.3","25.8","36.9"
"C30","47.1","19.2","33.8"
