A00,Uncommon Opening,6492,33.2,26,40.9
A01,Nimzovich-Larsen Attack,14275,36,29.4,34.7
A02,Bird's Opening,20353,34.9,25.2,40
A03,Bird's Opening,9785,34.1,25.9,40
A04,Reti Opening,290527,37.2,36.6,26.2
A05,Reti Opening,132385,37,38.4,24.6
A06,Reti Opening,76607,37.3,36.6,26.1
A07,King's Indian Attack,29752,37.5,36.9,25.6
A08,King's Indian Attack,3564,40.7,31.3,28
A09,Reti Opening,18109,39.6,35.1,25.3
A10,English,236302,37.7,34.1,28.2
A11,"English, Caro-Kann Defensive System",16149,36.5,38.6,25
A12,English with b3,2692,35.5,35.7,28.8
A13,English,29981,36.2,37.8,26
A14,English,7438,37.1,42,20.8
A15,English,73976,39,33.6,27.5
A16,English,48029,39.7,32.8,27.5
A17,English,12241,40.6,33.8,25.6
A18,"English, Mikenas-Carls",4492,45.7,30.3,24
A19,"English, Mikenas-Carls, Sicilian Variation",1122,37.7,33.5,28.8
A20,English,53113,38.5,30.9,30.6
A21,English,38418,38.1,30.7,31.2
A22,English,24322,37.8,32.7,29.6
A23,"English, Bremen System, Keres Variation",1690,38.9,29.5,31.7
A24,"English, Bremen System with ...g6",494,43.1,28.3,28.5
A25,English,11808,38.4,30.6,31.1
A26,English,2005,33,36.1,30.9
A27,"English, Three Knights System",4453,39,31.1,30
A28,English,12265,37.3,36.1,26.6
A29,"English, Four Knights, Kingside Fianchetto",5588,37.8,36.7,25.5
A30,"English, Symmetrical",27912,37.1,37.7,25.3
A31,"English, Symmetrical, Benoni Formation",8381,34.4,31.7,34
A32,"English, Symmetrical Variation",1306,28.6,40,31.3
A33,"English, Symmetrical",3536,32.7,44.5,22.9
A34,"English, Symmetrical",12354,35.3,35.6,29.1
A35,"English, Symmetrical",6614,37.2,36.2,26.7
A36,English,4370,36.6,37.1,26.3
A37,"English, Symmetrical",7425,28.1,40.1,31.8
A38,"English, Symmetrical",4050,38.1,40.5,21.4
A39,"English, Symmetrical, Main line with d4",3118,38.9,41,20.1
A40,Queen's Pawn Game,1113851,37.9,33.5,28.5
A41,Queen's Pawn Game (with ...d6),30659,36.9,32.2,30.9
A42,"Modern Defense, Averbakh System",13206,40.1,29.6,30.4
A43,Old Benoni,16532,39.8,26.9,33.3
A44,Old Benoni Defense,4170,45.8,25.8,28.4
A45,Queen's Pawn Game,620590,36.5,34.1,29.3
A46,Queen's Pawn Game,170666,35.2,34.8,30
A47,Queen's Indian,4732,34.6,34,31.4
