A00,6492,33.2,26,40.9
A01,14275,36,29.4,34.7
A02,20353,34.9,25.2,40
A03,9785,34.1,25.9,40
A04,290527,37.2,36.6,26.2
A05,132385,37,38.4,24.6
A06,76607,37.3,36.6,26.1
A07,29752,37.5,36.9,25.6
A08,3564,40.7,31.3,28
A09,18109,39.6,35.1,25.3
A10,236302,37.7,34.1,28.2
A11,16149,36.5,38.6,25
A12,2692,35.5,35.7,28.8
A13,29981,36.2,37.8,26
A14,7438,37.1,42,20.8
A15,73976,39,33.6,27.5
A16,48029,39.7,32.8,27.5
A17,12241,40.6,33.8,25.6
A18,4492,45.7,30.3,24
A19,1122,37.7,33.5,28.8
A20,53113,38.5,30.9,30.6
A21,38418,38.1,30.7,31.2
A22,24322,37.8,32.7,29.6
A23,1690,38.9,29.5,31.7
A24,494,43.1,28.3,28.5
A25,11808,38.4,30.6,31.1
A26,2005,33,36.1,30.9
A27,4453,39,31.1,30
A28,12265,37.3,36.1,26.6
A29,5588,37.8,36.7,25.5
A30,27912,37.1,37.7,25.3
A31,8381,34.4,31.7,34
A32,1306,28.6,40,31.3
A33,3536,32.7,44.5,22.9
A34,12354,35.3,35.6,29.1
A35,6614,37.2,36.2,26.7
A36,4370,36.6,37.1,26.3
A37,7425,28.1,40.1,31.8
A38,4050,38.1,40.5,21.4
A39,3118,38.9,41,20.1
A40,1113851,37.9,33.5,28.5
A41,30659,36.9,32.2,30.9
A42,13206,40.1,29.6,30.4
A43,16532,39.8,26.9,33.3
A44,4170,45.8,25.8,28.4
A45,620590,36.5,34.1,29.3
A46,170666,35.2,34.8,30
A47,4732,34.6,34,31.4
A48,72568,35.6,34,30.3
A49,13609,33,38,29.1
A50,416112,37.1,34.6,28.4
A51,9522,44.1,26.5,29.4
A52,6793,46,27.6,26.4
A53,14896,39.7,31.1,29.2
A54,2578,36.2,35.1,28.7
A55,4089,40.6,33.8,25.6
A56,52233,38.8,27.9,33.3
A57,22028,39.4,27.8,32.8
A58,7980,37.7,31.2,31.1
A59,648,37.7,29.9,32.4
A60,11757,42.3,24.4,33.2
A61,9392,41.8,29.2,28.9
A62,3509,34.7,31.8,33.5
A63,294,28.9,35,36.1
A64,1176,30.7,31.5,37.8
A65,8705,43.3,23.4,33.3
A66,3097,45.6,21.1,33.3
A67,2156,47.7,21.6,30.7
A68,662,37.9,21.5,40.6
A69,1199,45.5,24.6,29.9
A70,4681,38.5,28,33.5
A71,592,48.1,22.8,29.1
A72,1900,36.3,28.2,35.5
A73,2210,36.8,28.6,34.6
A74,573,38.2,29.5,32.3
A75,470,35.3,29.8,34.9
A76,1139,35.9,27.6,36.5
A77,1408,40.6,27.9,31.5
A78,657,38.2,30.3,31.5
A79,407,41.3,31.4,27.3
A80,38629,40.2,29.1,30.8
A81,11790,42.4,32.8,24.7
A82,2532,39.5,23.2,37.3
A83,1761,38.3,24.2,37.5
A84,9816,36.2,27.6,36.2
A85,4911,34.2,26.4,39.4
A86,2070,37.6,32.9,29.5
A87,3019,36.8,33,30.2
A88,3291,37.5,33.6,28.9
